"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"1",119876.916561771,307223.085494421,276075.092884003,20.354337489721,22.0369517640693,21.4087197606257
"2",104816.487450943,264247.842835079,235771.408707708,22.2641277099386,23.5786778593792,22.8971643169369
"3",104460.811018716,239992.017112025,230474.269286345,22.2148625473877,23.8673689113966,22.8194258913501
"4",104585.813036797,252282.640394746,240788.305960119,21.2870107527332,22.9826561673608,21.9434243529887
"5",109145.51731283,276451.541362053,234237.703490312,21.335909076354,22.857658716864,22.3082072018454
"6",107589.823310249,307846.345391021,285424.410009913,20.4189362871967,22.1275529591225,21.2206711365924
"7",109168.915847092,287596.001275999,265705.220723246,21.1972742152212,22.791588839989,21.9390866544931
"8",106781.102600516,286925.885818239,262884.35960629,21.0609939373945,22.6881762605584,21.9427274247927
"9",119295.244415143,302875.817328702,264035.596283436,20.6730241395538,22.460186573792,21.6877398120834
"10",114148.323670693,316369.655437668,301190.771768469,20.2450157630297,21.7559026297783,21.0721598248051
"11",116547.646183073,281839.438401874,267480.414195788,21.2169203575128,23.1843143625578,21.7447491708583
"12",129983.573817656,316208.827078852,270636.153693945,20.5827191474462,22.5786610415279,21.3585983774289
"13",120333.910708365,294523.715934298,278118.793542995,21.1317865968638,22.9128939803892,21.7993142393778
"14",100406.538329157,249434.355993223,221781.99820459,22.4145126934026,23.8194142558158,23.0123593889656
"15",135203.267323969,344477.771603624,310303.738227207,19.3076238515899,21.4868780901058,20.0669148439465
"16",128048.736290213,337874.02821186,308486.73605045,20.6836748605698,22.4337408695298,21.4245011239995
"17",114695.168209034,290365.045204577,263118.478180296,21.0469491198899,22.6745552073153,21.8417093747136
"18",98589.0227629234,254373.216112227,219364.741081393,22.3530407603815,23.7209714424525,23.0832825874794
"19",106243.385895127,285015.604787663,260938.264115996,21.3522086805575,22.7109886478899,22.0211924898814
"20",104324.929593185,250427.570599211,241062.518300588,21.5620814738895,23.2555388195183,22.3791694684989
"21",121370.568908786,310555.810133392,294200.72745831,21.3168251089938,23.0722160605829,21.9766597163822
"22",109568.186341539,265819.087422927,232721.039323029,21.9357733769676,23.2212071379908,22.7791316258645
"23",118137.95509181,318103.194757996,288420.033709511,19.6198849207627,21.3871883481652,20.8866174759552
"24",105031.139533749,238299.958632483,217949.428760668,22.4057918460126,23.8573230923709,23.0281872356652
"25",114421.16386161,262976.090014714,246415.949096423,22.0249832721212,23.6177215079232,22.7726775887575
